Year,Number of Employees,Net Sales in Euro,Net Income in Euro
2021,87900.0,22200000000,1623000000.0
2020,92040.0,21850000000,-2431000000.0
2019,98320.0,23320000000,7000000.0
2018,103080.0,22560000000,-340000000.0
2017,102760.0,23150000000,-1494000000.0
2016,100880.0,23640000000,-766000000.0
2015,55720.0,12500000000,2466000000.0
2014,55400.0,11760000000,3462000000.0
2013,58900.0,12710000000,-615000000.0
2012,97800.0,30180000000,-3105000000.0
2011,130050.0,38660000000,-1164000000.0
2010,132430.0,42450000000,1850000000.0
2009,123550.0,40980000000,891000000.0
2008,125830.0,50710000000,3988000000.0
2007,112260.0,51060000000,7205000000.0
2006,68480.0,41120000000,4306000000.0
2005,58870.0,34189999999,
2004,,29370000000,
2003,,29530000000,
2002,,30020000000,
2001,,31190000000,
2000,,30380000000,
1999,,19770000000,
